ID,N_ID
2017-03-Seville,1
2017-03-Valencia,1
2017-04- Barcelona,1
2017-04-Bilbao,2
2017-04-Madrid,1
2017-04-Seville,3
2017-04-Valencia,0
2017-05- Barcelona,0
2017-05-Bilbao,2
2017-05-Madrid,3
2017-05-Seville,3
2017-05-Valencia,0
2017-06- Barcelona,3
2017-06-Bilbao,2
2017-06-Madrid,3
2017-06-Seville,3
2017-06-Valencia,0
2017-07- Barcelona,0
2017-07-Bilbao,2
2017-07-Madrid,3
2017-07-Seville,3
2017-07-Valencia,0
2017-08- Barcelona,0
2017-08-Bilbao,2
2017-08-Madrid,3
2017-08-Seville,3
2017-08-Valencia,0
2017-09- Barcelona,0
2017-09-Bilbao,2
2017-09-Madrid,3
2017-09-Seville,3
2017-09-Valencia,0
2017-10- Barcelona,0
2017-10-Bilbao,2
2017-10-Madrid,3
2017-10-Seville,3
2017-10-Valencia,0
2017-11- Barcelona,1
2017-11-Bilbao,2
2017-11-Madrid,1
2017-11-Seville,1
2017-11-Valencia,1
2017-12- Barcelona,1
2017-12-Bilbao,2
2017-12-Madrid,1
2017-12-Seville,1
2017-12-Valencia,1
2018-01- Barcelona,1
2018-01-Bilbao,2
2018-01-Madrid,2
2018-01-Seville,1
2018-01-Valencia,1
2018-02- Barcelona,2
2018-02-Bilbao,2
2018-02-Madrid,5
2018-02-Seville,1
2018-02-Valencia,5
2018-03- Barcelona,5
2018-03-Bilbao,5
2018-03-Madrid,5
2018-03-Seville,5
2018-03-Valencia,5
2018-04- Barcelona,1
2018-04-Bilbao,2
2018-04-Madrid,5
2018-04-Seville,1
2018-04-Valencia,5
2018-05- Barcelona,0
2018-05-Bilbao,2
2018-05-Madrid,0
2018-05-Seville,1
2018-05-Valencia,0
2018-06- Barcelona,3
2018-06-Bilbao,2
2018-06-Madrid,3
2018-06-Seville,3
2018-06-Valencia,0
2018-07- Barcelona,3
2018-07-Bilbao,2
2018-07-Madrid,3
2018-07-Seville,3
2018-07-Valencia,0
2018-08- Barcelona,0
2018-08-Bilbao,2
2018-08-Madrid,3
2018-08-Seville,3
2018-08-Valencia,0
2018-09- Barcelona,0
2018-09-Bilbao,0
2018-09-Madrid,3
2018-09-Seville,3
2018-09-Valencia,0
2018-10- Barcelona,0
2018-10-Bilbao,2
2018-10-Madrid,5
2018-10-Seville,1
2018-10-Valencia,0
2018-11- Barcelona,2
2018-11-Bilbao,5
2018-11-Madrid,2
2018-11-Seville,2
2018-11-Valencia,5
2018-12- Barcelona,1
2018-12-Bilbao,2
2018-12-Madrid,2
2018-12-Seville,1
2018-12-Valencia,1
